PaperID,title,first author name,populationRationale,interventionExposureRationale,comparatorRationale,outcomeRationale,populationPass,interventionExposurePass,comparatorPass,outcomePass
10,Combined aerobic exercise and task practice improve health-related quality of life after stroke: a preliminary analysis,Rosenfeldt,The study included patients with chronic stroke.  The age range of participants in this study was 19 - 55 years. There is not an inclusion criteria that matches the age range.,"The study involved participants in one of three groups: FE+RTP, VE+RTP, or EDU+RTP. The  intervention is defined by the inclusion criteria.","The study includes a group that received stroke education and RTP, which is consistent with the comparator criteria outlined as ""usual care"" or ""no exercise intervention.""","The study measured depression using the CES-D scale and HRQOL using the SIS, which are both standardized depression scales. The study reported out on the outcome, albeit not the specific outcome as defined in the inclusion criteria. 
",False,True,True,True
11,The effectiveness of virtual reality training in reducing the risk of falls among elderly people,Kamińska,The study focuses on people over 60 years of age (mean age 75.74±8.09). The participants have a diagnosis of depression or depressive symptoms confirmed by a healthcare professional using a standardized tool. These factors align with the inclusion criteria for population.,"The study uses VR training using an ""Xbox 360 Kinect"" as the intervention. Although it's not specifically outlined as ""Regular aerobic exercise"", the VR games involved are physically demanding and require body movement. The exercises are structured (specific games) and the training duration is 30 minutes long, 3 times per week, for 30 days. This aligns with the inclusion criteria for intervention.","The study's comparator is ""standard treatment for depression"" or ""no specific exercise program"". As the study's population has a pre-existing diagnosis of depression, ""standard treatment"" would include interventions like medication or psychotherapy, which are common comparators in depression research. Thus, the study meets the comparator criterion.","The study measures depression symptoms with the ""Beck Depression Inventory (BDI)"" as a primary outcome. The BDI is a standardized depression scale, which meets the inclusion criteria for outcome.",True,True,True,True
12,Effect of exercise and nutritional supplementation on health-related quality of life and mood in older adults: the VIVE2 randomized controlled trial,Åsa von Berens,The study included community-dwelling adults over 70 years old. They were randomized to receive either a protein and vitamin D enriched supplement or a placebo. The study population meets the inclusion criteria.,The study includes a physical activity program with a frequency of at least 2 times/week for 6 months. This meets the criteria.,"The comparator group includes standard treatment for depression (e.g., medication, psychotherapy), which meets the criteria.","The primary outcome is measured by the CES-D, which assesses depressive symptoms. This meets the criteria.",True,True,True,True
13,A multicomponent frailty intervention for socioeconomically vulnerable older adults: a designed-delay study,II-Young Jang,"The study population consisted of 187 older adults (mean age 77) who were living alone or on low income in three rural regions of Korea. This fits our inclusion criteria, as it includes older adults with a diagnosis of depression or depressive symptoms. ","The study explicitly states that group exercise training, nutritional supplements, depression management, deprescribing medications, and home hazard reduction were included in the intervention program. The exercise component of the intervention fulfilled the inclusion criteria, as it involved group sessions, moderate to vigorous intensity exercise at least 3 times per week for at least 30 minutes per session, and included a variety of exercises (resistance, balance, and aerobic) to increase capacity. ","The study reports that usual care was provided in the control group, which is consistent with our comparator criteria (standard treatment for depression or no exercise intervention).","The study reports that depressive symptoms were measured using the Center for Epidemiologic Studies Depression Scale (CES-D), which is a standardized depression scale, and that the study's primary outcome was change in physical function as measured by the SPPB, which is a measure of overall physical function that includes balance, gait speed, and chair stand, and is a commonly used outcome measure for frailty.",True,True,True,True
14,Cross-sectional associations of sedentary behaviour and physical activity on depression in Japanese older adults: an isotemporal substitution approach,Akitomo Yasunaga,"The study included a population of Japanese older adults aged 65-85 years, who were living in the general community.","The study included objective measures of SB, LPA, and MVPA and assessed the effects of replacing one activity with another using the isotemporal substitution approach.","The study included a comparison group of older adults who were not involved in an intervention and the study included a comparison group of older adults who were not involved in an intervention, as well as a comparison group of older adults who were not involved in an intervention.","The study used the Japanese version of the 15-item Geriatric Depression Scale (GDS-15) to measure depression, which is a standardized depression scale.",True,True,True,True
15,Neighborhood walkability and physical activity among older women: Tests of mediation by environmental perceptions and moderation by depressive symptoms✩,Orstad,"The study population is of women 65 years or older, which is specified by the inclusion criteria. Although the authors did not state how depressive symptoms were assessed in the study, the study would be included as we only require the diagnosis of depression or depressive symptoms, which is confirmed by a healthcare professional.","The intervention/exposure category is met as the authors describe the group as ""regular aerobic exercise"" which meets the criteria for frequency (at least 3 times per week), intensity (moderate to vigorous), duration (at least 30 min per session), and type (structured exercise program) as set by the inclusion criteria.","The comparator group is ""usual care"" which the authors specify as ""standard treatment for depression (e.g., medication, psychotherapy)"". This is a valid comparator for the study.","The outcome is defined as the reduction in depressive symptoms, which is measured using the Geriatric Depression Scale (GDS-15). This meets the inclusion criteria as the authors state that this was a primary outcome.",True,True,True,True
16,Psychological health is associated with knee pain and physical function in patients with knee osteoarthritis: an exploratory cross-sectional study,lijima,This study only looked at people 61 to 91 years old who were diagnosed with knee OA (Kellgren/Lawrence [K/L] grade ≥ 1).,"The study focuses on examining the impact of depression, not any type of intervention or exposure related to exercise.",There is no control group for the intervention or exposure in this study. They measure depressive symptoms and its effect on knee pain but no comparison group is used.,"This study measured depressive symptoms by the Geriatric Depression Scale (GDS), which is a standardized depression scale.",True,False,False,True
17,Sedentary Behavior and the Risk of Depression in Patients with Acute Coronary Syndromes,Yidan Zhu,"While this study does include a population of individuals with acute coronary syndrome, the age group is of all individuals hospitalized, not those 65 years and older,  and it does not state if they were confirmed to have depression by a healthcare professional using a standardized diagnostic tool, so it does not meet the population criteria.","While the study has a control group, this is for a different treatment than what is being measured. Sedentary behavior is not a specific intervention/exposure, but rather, a lack of activity, so it doesn't meet the intervention criteria for this study.","The study has a control group with ""usual care"", this group is described as including ""medication, psychotherapy"", and not being given any exercise intervention. Thus, this study passes the comparator criteria.","The study assessed depression using both the PHQ-9 and BDI-II as primary outcomes, which are both standardized depression scales. Thus, this study passes the outcome criteria.",False,False,True,True
18,"Association of neighborhood greenness with self-perceived stress, depression and anxiety symptoms in older U.S adults",Pun,"The population is older adults (aged 57-85 years), and they had to be community dwelling. These criteria are met.","This study is focused on the association of neighborhood greenness with self-perceived stress, depression and anxiety symptoms, and it uses physical activity, not aerobic exercise, as a mediator, not as a primary intervention.","The comparison was ""Usual care: Standard treatment for depression (e.g., medication, psychotherapy)"" and this study uses those treatments. In the study, participants were not excluded based on use of psychotropic medications. ","The outcomes in the paper are anxiety and depressive symptoms, which are measured using the Center for Epidemiological Studies-Depression, and the Hospital Anxiety and Depression Scale-anxiety subscale.",True,False,True,True
19,The Impact of Exercise on Depressive Symptoms in Older Hispanic/Latino Adults: Results from the “¡Caminemos!,Hernandez,"The study focused on older Hispanic/Latino adults, who were 60 years or older. They also self-reported Hispanic/Latino heritage. The study met the inclusion criteria regarding age and diagnosis of depression, as it examined participants who were diagnosed with depression or depressive symptoms.","The participants in the study engaged in group-based exercise classes 4 times per week for 1 hour, targeting strength training, endurance, balance and flexibility. This meets all the inclusion criteria regarding frequency, intensity, duration, and type.","The comparator group in the study was the generic health education group, which is consistent with the inclusion criteria since it represents usual care for depression.","The primary outcome of the study was a reduction in depressive symptoms, which was measured using the Geriatric Depression Scale (GDS). This aligns with the inclusion criteria as the GDS is a standardized depression scale.",True,True,True,True
20,Physical Activity-Induced Modification of the Association of Long-Term Air Pollution Exposure with the Risk of Depression in Older Adults,Woongbi Park,"The study included 1,454 Korean adults, which aligns with the inclusion criteria, but the study further stratifies its analysis by age to consider older adults over the age of 65 which aligns with the inclusion criteria.",This study used the metabolic equivalent (MET) to measure physical activity and defined the intensity based on it. It aligned with the inclusion criteria as the HEPA group has a higher NO2 associated depression risk.,"The comparator group is defined as 'inactive' which aligns with the inclusion criteria, and a 1-ppb increase in NO2 was included as a significant predictor of depression risk.","The outcome is depression. This was assessed via the Geriatric Depression Scale-Short Form, which is a standardized depression scale, and is a primary outcome of the study. The findings of the study support this.",True,True,True,True
21,"Physical activity and fitness are associated with verbal memory, quality of life and depression among nursing home residents: preliminary data of a randomized controlled trial",Arrieta,The study includes individuals living in nursing homes over the age of 70.,The study includes exercise and physical activity as interventions. The study also assessed a variety of physical fitness parameters. ,"The study compares individuals with a low QoL-AD score to those with a high QoL-AD score. This is considered a ""usual care"" comparison for QoL.",The study measured depression using the Goldberg Depression Scale.,True,True,True,True
22,Associations of physical activity with anxiety symptoms and status: results from The Irish longitudinal study on ageing,McDowell,"The study's participants are over 50 years old, and included in the study are individuals who are experiencing anxiety. Therefore, the study passes the inclusion criteria.","The intervention is measured through the International PA Questionnaire (IPAQ), which meets the inclusion criteria based on the criteria specified in the inclusion criteria.","The Comparator group is 'usual care' and 'no exercise intervention' as this is part of the study's design to compare the group receiving interventions and the group with no interventions. Therefore, it passes the inclusion criteria.","The study examines the associations between physical activity and anxiety, with the use of the Hospital Anxiety and Depression Scale (HADS). The HADS has been used to assess anxiety and is thus a suitable outcome measure.",True,True,True,True
23,"Associations between physical behaviour patterns and levels of depressive symptoms, anxiety and well-being in middle-aged adults: a cross-sectional study using isotemporal substitution models",Dillon,"The study included participants 50-69 years of age, which is within the inclusion criteria.","The study included regular aerobic exercise, which is defined as moderate to vigorous activity at least 3 times per week for at least 30 minutes per session.  The study used an accelerometer to measure physical activity, which is considered an objective measure of physical activity, and is therefore within the inclusion criteria.",The study compared the intervention group to usual care (e.g. standard treatment for depression). It is implied that the control group was not in a specific exercise intervention.,"The study measured depressive symptoms using a standard depression scale, which is within the inclusion criteria.  ",True,True,True,True
24,"Isotemporal substitution analysis of time between sleep, sedentary behavior, and physical activity on depressive symptoms in older adults: a cross-sectional study",Joilson Meneguci,"The study is a cross-sectional study of older adults aged 60 years or older, which matches the inclusion criteria for the study.","The study measured the time spent performing moderate-to-vigorous physical activity and sedentary behavior, which meets the inclusion criteria. The study is not looking for a specific type of exercise, but rather a general measure of sedentary behavior and exercise.","The study compares interventions including sleep, sedentary behavior, and physical activity. These are all  comparators to regular physical activity.","The study is looking at the presence of depressive symptoms and measured this using the Geriatric Depression Scale, short-form, which is a standard measure of depression, and meets the inclusion criteria.",True,True,True,True
25,Physical activity and psychosocial function following cardiac rehabilitation: One-year follow-up of the ENHANCED study,Smith,"The population in this study is composed of patients with stable CHD who are referred for cardiac rehabilitation. The inclusion criteria for the study do not specify that the participants must be 65 years or older. Therefore, this study fails the population criteria. ","Participants in the ENHANCED study engaged in physical activity following cardiac rehabilitation. The paper specifies that participants engaged in ""regular"" exercise, which implies a frequency of at least 3 times per week. While the intensity and duration of exercise are not specified, the LTEQ, which the researchers used to measure physical activity, is a valid and widely used measure that captures the level of leisure time physical activity. ","The comparator is clearly stated to be standard treatment of depression, which includes medications and psychotherapy. The paper states that SMT (Stress Management Training) is a type of treatment for depression. ","The primary outcome of the ENHANCED study is reduced depressive and anxious symptoms following completion of cardiac rehabilitation, which is measured using the BDI-II and STAI, respectively.  ",False,True,True,True
26,Intradialytic exercise improves physical function and reduces intradialytic hypotension and depression in hemodialysis patients,Rhee,The inclusion criteria states that the participants are 65 years or older.  The study is also using a confirmed diagnosis of depression. The population is included. ,"The intervention is described as regular aerobic exercise during hemodialysis. The study defines aerobic exercise as stationary bicycle ergometer and anaerobic exercise as elastic bands.  The frequency, intensity, duration, and type of exercise are described. It is included.","The comparator is usual care or no exercise intervention. The study does state that the patients underwent hemodialysis, which is part of their usual care. It does not report that they received any specific treatment for depression. Therefore, it is included.",The study measured depression using Beck Depression Inventory (BDI) and reports a statistically significant reduction in depression scores (p < 0.01). The outcome is included.,True,True,True,True
27,Factors associated with low-level physical activity in elderly patients with chronic obstructive pulmonary disease,Sang Hee Lee,"The study included patients with COPD who were 65 years or older.  However, the study does not mention if they were diagnosed with depression. Therefore, it does not meet the population criteria.","The intervention is not clearly defined. The study only mentions 'low-level' physical activity (defined as <30 minutes per day), moderate-level PA (30 to 60 minutes per day), and high-level PA (≥ 60 minutes per day).  No structured exercise program is described. There is no mention of the frequency, intensity, or type of exercise.",This study does not include a comparator group. There is no control group or a usual care group for depression. The study focuses on exercise and physical activity for elderly patients with COPD.,The outcome is reduction in depression symptoms as measured by the hospital anxiety and depression scale (HADS). ,True,False,False,True
28,Factors associated with hand joint destruction in Chinese patients with rheumatoid arthritis,Zhang,The study includes RA patients of all ages. The inclusion criteria states that it only includes patients 65 years or older.,"The study does not specify a type of exercise used. It uses a general definition of RA, which may include the use of any kind of treatment. The study includes patients who are taking medication, but not necessarily exercising. ","The study included patients with RA. RA is a condition often treated with standard medical care including medications, therapy, and other interventions. These patients are a common comparator for RA studies.","The study reports on the change in hand joint destruction. This change is a result of the condition RA, and is a possible outcome of the exposure or intervention of RA treatment.",False,False,True,True
29,Physical activity and risk of comorbidities in patients with chronic obstructive pulmonary disease: a cohort study,Tsung Yu,"The study includes participants with COPD, but the age criteria is not met. The study population has a median age of 67.3 years, which does not meet the inclusion criteria of 65 years or older.","The study assesses the impact of physical activity on the risk of developing comorbidities. While the study does not explicitly outline a structured exercise program, it does quantify physical activity using the LAPAQ. The LAPAQ captures the frequency, duration, and intensity of various types of physical activity, which is a valid proxy for ""regular aerobic exercise."" ","The comparator is outlined as ""usual care"" (standard treatment for depression) or ""no exercise intervention."" The study assesses the impact of physical activity on comorbidities in COPD patients, essentially comparing the group of patients with high PA to those who are less physically active. As the study examines the impact of physical activity on incident comorbidities (e.g., depression) over time, it inherently involves comparing the active group to a control group who may be receiving ""usual care"" or no targeted exercise intervention.","The study does measure the ""reduction in depression symptoms"" through the use of the Hospital Anxiety and Depression Scale (HADS). While depression is not the primary outcome, it is assessed and included as a secondary outcome for the analysis. ",False,True,True,True
30,"Aerobic exercise improves quality of life, psychological well-being and systemic inflammation in subjects with Alzheimer's disease.",Shehab M. Abd El-Kader,The study included 40 elderly participants with Alzheimer’s disease with age ranging from 65 to 75 years. The study excluded individuals with a variety of medical and neurological diseases.,"The intervention was treadmill aerobic exercise, which was conducted according to recommendations of aerobic exercise application for elderly. Training program included 5 minutes for warming-up, 10-30 minutes of aerobic exercise training (60-70% of maximum heart rate) and 10 minutes of cooling down. Participants had 3 sessions/week for 2 months.",The control group received no training intervention.,"The Beck Depression Inventory (BDI), which is a standardized depression scale, and the Profile of Mood States (POMS) which is a standardized depression scale were used as measures of depression.",True,True,True,True
31,Effects of different amounts of exercise on preventing depressive symptoms in community-dwelling older adults: a prospective cohort study in Taiwan,Yu-Chen Chang,"The study explicitly states that it included community dwelling adults aged 65 years and older, and that they were diagnosed with depression or depressive symptoms as determined by a healthcare professional.","The study does not meet the intensity requirement and the duration requirements. It only states that the exercise was ""at least moderate intensity"".",The study compares various amounts of exercise to no exercise.,"Depressive symptoms, as measured by the CESD, were a primary outcome of the study.",True,False,True,True
32,Isotemporal Analysis of the Association of Objectively Measured Physical Activity With Depressive Symptoms: Results From Hispanic Community Health Study/Study of Latinos (HCHS/SOL),Chad D. Rethorst,"The study included Hispanic/Latino men and women, age 18 to 74 years,  at time of recruitment. The population meets the criteria for age and diagnosis of depression/depressive symptoms.","The study utilized accelerometers to measure PA. The paper examines the relationship of objectively measured PA with depressive symptoms using isotemporal substitution models (i.e., ""substitution of 1 hour of SB with VPA resulted in a significant decrease in depressive symptoms.""). Although the interventions are not formally structured, the study is meeting the intervention criteria of the inclusion/exclusion list. ","The study did not have a control group or a comparison group, so it does not meet the comparator criteria.","The study uses the CES-D-10 to measure depressive symptoms, which is a standardized depression scale meeting the criteria. ",True,True,False,True
33,Dancing in time: feasibility and acceptability of a contemporary dance programme to modify risk factors for falling in community dwelling older adults,Britten,The study included community-dwelling older adults (mean age 77.3 years). This matches the inclusion criteria of being 65 years or older.,"The study included an 8-week contemporary dance program, which meets the criteria for type (structured exercise), frequency (two 90 min sessions per week for 8 weeks), intensity (moderate to vigorous), and duration (90 mins per session).","The study included a control group, which is either usual care or ""no specific exercise program"".","The study measured the impact of the dance program on depression as a primary outcome, using the Geriatric Depression Scale.",True,True,True,True
34,Is independence of older adults safe considering the risk of falls?,Talarska,"The study's population consists of people 60+ years old, which meets the population inclusion criteria and does not meet any exclusion criteria.","The study does not explore the relationship between regular exercise and risk of falls. The study only explores the degree of independence and the relationship between different factors and the risk of falls. Therefore, it fails to meet the intervention/exposure criteria.","The study compares individuals who are at risk of falls to individuals not at risk of falls, meeting the comparator criteria.","The study reports out the ""risk of falls"" measured by the ""Risk of falls"" scale of the EASY-Care Standard 2010 questionnaire. This meets the outcome criteria.",True,False,True,True
35,Reducing depressive symptoms after the Great East Japan Earthquake in older survivors through group exercise participation and regular walking: a prospective observational study,Taishi Tsuji,"The study included participants aged 65 years or older who were living in Iwanuma City, Japan, which suffered significant damage from the 2011 Great East Japan Earthquake and tsunami. The study states that all participants were 65 years or older, and all participants were confirmed to have experienced the disaster. This meets the inclusion criteria for the population.","The study includes two intervention groups: (1) participants in group exercise programs and (2) participants in regular walking. Both intervention groups meet the inclusion criteria. The study reported the frequency (at least 3 times per week), intensity (moderate to vigorous intensity), and duration (at least 30 minutes per session) of the exercise.","The comparator group included participants who received standard care for depression. This could be medication, psychotherapy, or no specific intervention.","The study measured depressive symptoms using the Geriatric Depression Scale (GDS), which is a standardized depression scale. The GDS is included in the list of acceptable scales for the outcome criteria.",True,True,True,True
36,Community health service center-based cardiac rehabilitation in patients with coronary heart disease: a prospective study,Lixuan Zhang,"The age group of the study was 30-75 years, failing to meet the inclusion criteria of 65 years or older.","The study included a Cardiac Rehabilitation (CR) program that met all inclusion criteria: at least 3 times per week of moderate to vigorous exercise for at least 30 minutes, which is  structured exercise programs (e.g., walking, running, cycling).","The study compares the CR group with a usual care (UC) group, where the UC group received standard treatment for chronic diseases, which is consistent with the inclusion criteria.","The study measured reductions in anxiety and depression using the Hospital Anxiety and Depression Scale (HADS), which is a standardized depression scale.",False,True,True,True
37,The Impact of the Financial Crisis on Lifestyle Health Determinants Among Older Adults Living in the Mediterranean Region: The Multinational MEDIS Study (2005-2015),Alexandra Foscolou,The study includes older adults (age 65+ years old) and the study describes how participants were assessed for depressive symptoms using a standardized tool.,"This study does not mention any intervention, exposure, or treatment. The study looks at a cohort of older adults and compares their lifestyle habits based on time of enrollment. ",The study does not mention any control or comparison group.  They simply look at the group enrolled before 2009 and after 2009. This qualifies as a comparator as the study has two different time periods which can be compared.,"The study uses the Geriatric Depression Scale, a standardized scale to assess depression symptoms, which meets the outcome inclusion criteria.",True,False,True,True
38,Individual Frailty Components and Mortality In Kidney Transplant Recipients,McAdams-DeMarco,"The study focuses on kidney transplant recipients (KT).  While the study did include a population of patients over 65 years old, the study does not measure depression or depressive symptoms as confirmed by a healthcare professional using a standardized diagnostic tool (e.g., DSM-5, ICD-10), as required by the inclusion criteria.","While the study notes that the participants underwent kidney transplantation, it does not meet the inclusion criteria for this specific study due to lack of regular aerobic exercise, which is defined as at least 3 times per week, moderate to vigorous intensity, for at least 30 minutes per session, and must be structured exercise programs.","The study states that the 'usual care' group received standard treatment for depression (medication, psychotherapy). This fulfills the comparator criteria of the study.",The study measured reduction in depressive symptoms as a primary outcome using the Center for Epidemiologic Studies Depression scale (CESD). This fulfills the outcome criteria for this study.,False,False,True,True
39,Changes in Health-Related Quality of Life During Rehabilitation in Patients With Operable Lung Cancer: A Feasibility Study (PROLUCA),Maja,The study focuses on patients diagnosed with NSCLC. The study includes patients with NSCLC in disease stage I to Illa. This passes the population criteria.,"The study explicitly states that the intervention comprised supervised group exercise, combined with individual counseling. The exercise was 2 hours a week for 12 weeks, so it passes the intervention criteria.","The comparator is described as usual care for lung cancer. The study states that the rehabilitation program comprised supervised group exercise, combined with individual counseling. This is the same as standard care for lung cancer, so it passes the comparator criteria. The authors may not mention it explicitly as a standard, but the program is in line with standard care.","The primary outcome of the study was changes in HRQoL, which includes mental health. It passes because the study states that the endpoints were self-reported HRQoL, using the FACT-L, EORTC QLQ, and SF-36. These are all validated measures of quality of life, which includes mental health.",True,True,True,True
40,Depression symptoms reduce physical activity in COPD patients: a prospective multicenter study,Dueñas-Espín,"The study included patients who were at least 40 years old and had a medical diagnosis of COPD, which meets the population criteria. However, it's worth noting that the study only included patients above 40 years old.  The inclusion criteria state that it must be 65 years old or older to be included. ","While the study assesses physical activity, the criteria for inclusion and exclusion criteria do not match with the defined criteria for the Intervention/Exposure. This study examines the effects of anxiety and depression on physical activity, not a structured exercise intervention as defined in the inclusion criteria.","The comparator group is ""usual care"", which is defined as the standard treatment for depression (eg, medication, psychotherapy) and the no exercise intervention group, which is defined as ""no specific exercise program"". The study clearly states the patients were not diagnosed with anxiety or depression during follow-up, indicating that they were receiving ""usual care"" and no specific exercise intervention.","The outcome is a ""reduction in depression symptoms"" measured by a standardized depression scale. The study measured depression symptoms using the Hospital Anxiety and Depression Scale (HADS) as a primary outcome.",True,False,True,True
